         x         y           v           s          Vx          Vy
      0.15       0.1  -0.0031552  1.2187e-05  0.00024637  0.00016309
      0.15     0.125  -0.0032928  1.9091e-05   0.0003037  0.00024483
      0.15      0.15  -0.0034303  2.7372e-05  0.00035645  0.00034001
      0.15     0.175  -0.0035755  3.6913e-05  0.00040438  0.00044743
      0.15       0.2  -0.0037312  4.7591e-05  0.00044747  0.00056591
      0.15     0.225  -0.0038953  5.9287e-05  0.00048582  0.00069428
      0.15      0.25  -0.0040623  7.1882e-05  0.00051951  0.00083132
      0.15     0.275  -0.0042236  8.5262e-05  0.00054849  0.00097578
      0.15       0.3   -0.004368  9.9307e-05   0.0005726   0.0011263
      0.15     0.325   -0.004482  0.00011389  0.00059147   0.0012814
      0.15      0.35  -0.0045498  0.00012888  0.00060452   0.0014393
      0.15     0.375  -0.0045535  0.00014412  0.00061093   0.0015983
      0.15       0.4   -0.004473  0.00015943  0.00060962    0.001756
      0.15     0.425  -0.0042857   0.0001746   0.0005992     0.00191
      0.15      0.45  -0.0039666  0.00018939  0.00057797   0.0020572
      0.15     0.475  -0.0034883   0.0002035  0.00054391    0.002194
      0.15       0.5  -0.0028211  0.00021658  0.00049462   0.0023164
    0.1625     0.025  -0.0029707  8.4627e-07  7.0228e-05  1.3126e-05
    0.1625      0.05  -0.0031439  3.5114e-06  0.00014329   4.803e-05
    0.1625     0.075  -0.0032573  8.0109e-06   0.0002155  0.00010171
    0.1625       0.1  -0.0033359  1.4287e-05   0.0002845  0.00017205
    0.1625     0.125   -0.003398  2.2236e-05  0.00034893  0.00025738
    0.1625      0.15  -0.0034561  3.1733e-05  0.00040815  0.00035633
    0.1625     0.175  -0.0035169  4.2643e-05  0.00046193  0.00046762
    0.1625       0.2  -0.0035821  5.4829e-05  0.00051028  0.00059003
    0.1625     0.225  -0.0036494  6.8157e-05  0.00055328  0.00072234
    0.1625      0.25   -0.003713  8.2493e-05  0.00059098  0.00086331
    0.1625     0.275  -0.0037642  9.7706e-05  0.00062332   0.0010116
    0.1625       0.3  -0.0037916  0.00011366  0.00065005   0.0011659
    0.1625     0.325  -0.0037817  0.00013021  0.00067074   0.0013246
    0.1625      0.35  -0.0037186   0.0001472   0.0006847   0.0014859
    0.1625     0.375  -0.0035846  0.00016444  0.00069096   0.0016479
    0.1625       0.4  -0.0033595  0.00018174  0.00068827   0.0018083
    0.1625     0.425   -0.003021  0.00019886  0.00067504   0.0019643
    0.1625      0.45  -0.0025447   0.0002155  0.00064934   0.0021128
    0.1625     0.475  -0.0019037  0.00023132  0.00060882   0.0022501
    0.1625       0.5  -0.0010693  0.00024594  0.00055077    0.002372
     0.175     0.025  -0.0034059  1.0151e-06  8.2562e-05  1.3811e-05
     0.175      0.05  -0.0034888  4.1281e-06  0.00016599  5.0404e-05
     0.175     0.075  -0.0035204  9.3148e-06  0.00024721  0.00010644
     0.175       0.1  -0.0035205  1.6489e-05  0.00032421  0.00017953
     0.175     0.125   -0.003504  2.5525e-05  0.00039584  0.00026785
     0.175      0.15  -0.0034811  3.6281e-05  0.00046157  0.00036989
     0.175     0.175  -0.0034569  4.8604e-05  0.00052122  0.00048429
     0.175       0.2  -0.0034322  6.2342e-05  0.00057483   0.0006098
     0.175     0.225  -0.0034041  7.7345e-05  0.00062247  0.00074517
     0.175      0.25  -0.0033663  9.3465e-05  0.00066416  0.00088912
     0.175     0.275  -0.0033101  0.00011055  0.00069979   0.0010403
     0.175       0.3  -0.0032238  0.00012845  0.00072907   0.0011973
     0.175     0.325  -0.0030938  0.00014701  0.00075147   0.0013585
     0.175      0.35  -0.0029043  0.00016603  0.00076618   0.0015221
     0.175     0.375  -0.0026374  0.00018532   0.0007721    0.001686
     0.175       0.4  -0.0022733  0.00020463   0.0007678   0.0018478
     0.175     0.425  -0.0017899  0.00022371  0.00075146   0.0020048
     0.175      0.45  -0.0011632  0.00024221  0.00072091   0.0021537
     0.175     0.475 -0.00036706  0.00025975   0.0006735   0.0022906
     0.175       0.5  0.00062619  0.00027588  0.00060617   0.0024112
    0.1875     0.025  -0.0038596  1.1916e-06   9.543e-05  1.4357e-05
    0.1875      0.05  -0.0038465  4.7715e-06  0.00018961  5.2308e-05
    0.1875     0.075  -0.0037913  1.0672e-05  0.00028007  0.00011024
    0.1875       0.1  -0.0037091  1.8775e-05  0.00036521  0.00018555
    0.1875     0.125  -0.0036115  2.8932e-05  0.00044411  0.00027623
    0.1875      0.15  -0.0035062   4.098e-05  0.00051637  0.00038066
    0.1875     0.175  -0.0033968  5.4751e-05  0.00058188  0.00049744
    0.1875       0.2  -0.0032828  7.0074e-05  0.00064071  0.00062524
    0.1875     0.225  -0.0031607  8.6786e-05  0.00069294   0.0007628
    0.1875      0.25  -0.0030238  0.00010472  0.00073855  0.00090881
    0.1875     0.275  -0.0028629  0.00012371  0.00077741   0.0010619
    0.1875       0.3  -0.0026662  0.00014359  0.00080914   0.0012206
    0.1875     0.325    -0.00242  0.00016417  0.00083312   0.0013833
    0.1875      0.35  -0.0021084  0.00018525  0.00084843   0.0015481
    0.1875     0.375  -0.0017137  0.00020659  0.00085383   0.0017128
    0.1875       0.4  -0.0012161  0.00022794  0.00084768   0.0018751
    0.1875     0.425 -0.00059387  0.00024898  0.00082797   0.0020321
    0.1875      0.45  0.00017646  0.00026934  0.00079225   0.0021805
    0.1875     0.475   0.0011204  0.00028859  0.00073758   0.0023163
    0.1875       0.5   0.0022645  0.00030622  0.00066052   0.0024349
       0.2     0.025   -0.004328   1.374e-06  0.00010872  1.4768e-05
       0.2      0.05  -0.0042146  5.4358e-06  0.00021394  5.3752e-05
       0.2     0.075  -0.0040688  1.2071e-05  0.00031383  0.00011313
       0.2       0.1  -0.0039014  2.1127e-05   0.0004072   0.0001901
       0.2     0.125  -0.0037208  3.2431e-05   0.0004934  0.00028252
       0.2      0.15  -0.0035323  4.5797e-05  0.00057218  0.00038867
       0.2     0.175  -0.0033375   6.104e-05  0.00064352  0.00050708
       0.2       0.2  -0.0031352  7.7973e-05  0.00070751  0.00063639
       0.2     0.225  -0.0029207  9.6415e-05  0.00076425  0.00077529
       0.2      0.25  -0.0026869  0.00011619  0.00081371  0.00092248
       0.2     0.275   -0.002424   0.0001371  0.00085569   0.0010765
       0.2       0.3  -0.0021204  0.00015897  0.00088975    0.001236
       0.2     0.325  -0.0017618  0.00018159  0.00091519   0.0013992
       0.2      0.35  -0.0013326  0.00020473  0.00093096   0.0015642
       0.2     0.375 -0.00081495  0.00022814  0.00093565   0.0017289
       0.2       0.4 -0.00018928  0.00025151  0.00092746   0.0018908
       0.2     0.425  0.00056572  0.00027451  0.00090413    0.002047
       0.2      0.45   0.0014731  0.00029672  0.00086296    0.002194
       0.2     0.475   0.0025578  0.00031766  0.00080071   0.0023279
       0.2       0.5    0.003845  0.00033675  0.00071359   0.0024441
    0.2125     0.025  -0.0048075  1.5608e-06  0.00012231  1.5049e-05
    0.2125      0.05  -0.0045907  6.1153e-06  0.00023879   5.475e-05
    0.2125     0.075  -0.0043516    1.35e-05  0.00034824  0.00011512
    0.2125       0.1  -0.0040969  2.3527e-05   0.0004499  0.00019321
    0.2125     0.125   -0.003832  3.5995e-05   0.0005434  0.00028675
    0.2125      0.15  -0.0035597  5.0697e-05  0.00062865  0.00039395
    0.2125     0.175    -0.00328  6.7428e-05  0.00070574  0.00051327
    0.2125       0.2  -0.0029903  8.5984e-05  0.00077482  0.00064331
    0.2125     0.225  -0.0026852  0.00010617  0.00083598  0.00078275
    0.2125      0.25  -0.0023567  0.00012778  0.00088918  0.00093025
    0.2125     0.275   -0.001995  0.00015063  0.00093417   0.0010844
    0.2125       0.3  -0.0015877  0.00017449  0.00097046   0.0012438
    0.2125     0.325  -0.0011208  0.00019915  0.00099722   0.0014065
    0.2125      0.35 -0.00057833  0.00022435   0.0010133   0.0015709
    0.2125     0.375  5.7383e-05  0.00024982   0.0010171   0.0017347
    0.2125       0.4   0.0008057  0.00027521   0.0010067   0.0018953
    0.2125     0.425   0.0016876  0.00030015  0.00097956   0.0020498
    0.2125      0.45   0.0027257  0.00032419  0.00093273   0.0021948
    0.2125     0.475    0.003944  0.00034679  0.00086265   0.0023264
    0.2125       0.5    0.005367  0.00036732   0.0007652   0.0024398
     0.225     0.025  -0.0052942  1.7502e-06  0.00013609  1.5207e-05
     0.225      0.05  -0.0049723  6.8045e-06  0.00026397  5.5316e-05
     0.225     0.075  -0.0046381  1.4949e-05  0.00038306  0.00011624
     0.225       0.1  -0.0042948  2.5957e-05  0.00049302  0.00019491
